"BMD","BMDL"
68.6193,40.2008
68.6768,40.2117
68.7411,40.3082
68.8107,40.3576
68.8231,40.4124
68.8415,40.4327
68.8561,40.4512
69.1363,40.4755
69.2357,40.4816
69.2895,40.486
69.5739,40.5218
69.7416,40.542
70.0008,40.5716
70.1523,40.5884
70.1765,40.6619
70.3418,40.6782
70.3987,40.822
70.4159,40.8814
70.5531,41.0518
70.5782,41.1369
70.8958,41.2383
70.9445,41.2573
71.4197,41.3409
71.6428,41.3705
71.8961,41.3789
71.9592,41.5002
71.9882,41.5327
72.0343,41.5746
72.0466,41.5872
72.2825,41.7005
72.2887,41.7018
72.3669,41.7866
72.4298,41.7886
73.1815,41.9235
73.4101,42.0077
73.4932,42.0237
73.5025,42.0772
73.5603,42.0796
73.6188,42.1284
73.686,42.1384
73.9415,42.1745
74.0571,42.248
74.3202,42.2579
74.564,42.3054
74.6604,42.3068
74.8923,42.3343
74.9596,42.3431
75.0057,42.3434
75.0928,42.3447
75.4814,42.3808
75.7849,42.4563
75.9733,42.7192
76.2596,42.7368
76.798,42.7767
77.1982,42.8031
77.3038,42.8223
77.3844,42.8547
77.6526,42.875
77.7033,42.8957
78.0915,42.9378
78.3863,42.9726
78.8804,42.9758
79.0927,43.1231
79.3118,43.189
79.3779,43.2273
79.6039,43.2501
79.6945,43.2662
79.7626,43.3177
79.8135,43.3205
79.9962,43.3394
80.0205,43.3438
80.0272,43.4581
80.0294,43.6316
80.1334,43.6886
80.4494,44.0728
80.4971,44.1168
81.3705,44.1275
81.48,44.1283
81.5816,44.2043
81.5816,44.2059
81.6628,44.2636
81.7515,44.3323
82.0232,44.3535
82.144,44.3867
82.2817,44.494
82.3352,44.7196
82.4591,44.7981
82.6635,44.8366
82.6813,44.9999
82.724,45.043
82.7308,45.0436
82.9362,45.0491
83.0262,45.1076
83.3261,45.1912
83.6195,45.2788
83.7407,45.3069
84.2118,45.3488
84.5525,45.4069
84.7344,45.4604
84.9301,45.466
85.2927,45.4735
85.3517,45.6148
85.5675,45.6199
85.815,45.6246
86.0579,45.6785
86.2018,45.745
86.4099,45.8139
86.6969,45.8447
86.7906,45.933
87.3075,46.0075
87.6397,46.0703
88.3331,46.2105
88.5666,46.2466
88.8769,46.2961
88.917,46.2981
89.0197,46.3043
89.1627,46.3164
89.4764,46.3677
89.5515,46.3779
89.6247,46.3845
89.9641,46.4024
90.1621,46.4691
90.2011,46.5638
90.414,46.586
90.6302,46.6042
90.6754,46.6732
90.819,46.7024
90.8498,46.745
91.096,46.757
91.1982,46.7987
91.1988,46.8062
91.3414,46.8439
91.666,46.9864
91.7345,47.1507
92.2437,47.2633
92.2447,47.3237
92.4302,47.3335
92.5488,47.3384
92.6005,47.3764
93.5825,47.4004
93.704,47.4244
93.7532,47.4264
93.999,47.5228
94.1313,47.5459
94.4032,47.5597
94.4337,47.5847
95.0159,47.608
95.1841,47.6624
95.3132,47.6697
95.4079,47.6924
95.7699,47.7351
96.5895,47.7608
96.6905,47.9078
97.5822,47.9297
97.7223,47.986
97.9317,48.178
98.5105,48.2204
98.6391,48.3484
98.7429,48.4129
99.5104,48.4313
99.5942,48.4644
99.7035,48.5518
100.063,48.5834
100.364,48.6073
100.492,48.6435
100.997,48.7077
101.113,48.8073
101.554,48.8108
101.908,48.8325
101.978,48.9309
102.054,48.978
102.214,48.9814
102.302,49.0828
102.516,49.2308
102.688,49.5461
103.556,49.6593
103.674,49.7639
104.048,49.7707
104.194,49.9259
104.288,49.9496
104.367,49.991
104.473,50.0535
105.169,50.0658
105.42,50.2066
105.468,50.2905
105.511,50.3435
106.983,50.4692
107.808,50.4829
107.821,50.7598
108.73,50.7917
109.006,50.8664
110.757,50.8719
110.854,50.9404
111.105,51.1731
111.185,51.1897
111.28,51.2308
111.495,51.2644
111.521,51.2775
111.741,51.2957
113.147,51.3163
113.262,51.336
113.387,51.3419
113.934,51.3672
114.599,51.468
114.842,51.5095
114.892,51.6213
115.338,51.6478
115.972,51.6866
116.066,51.8034
116.253,51.8184
116.859,51.8456
117.005,51.8916
117.157,51.9613
117.359,51.9715
117.512,52.3202
117.582,52.5471
118.6,52.7301
118.615,52.8734
118.992,52.8771
119.191,53.052
119.71,53.2514
120.226,53.2728
120.293,53.2768
121.108,53.3176
121.52,53.4539
121.616,53.8515
121.624,53.8677
121.87,53.8718
122.105,53.8804
122.51,53.888
122.663,54.1477
122.7,54.1555
122.801,54.205
122.913,54.4481
123.308,54.6113
123.546,54.7328
123.617,54.8271
124.179,54.8736
124.233,54.9191
124.634,54.9398
125.315,54.9621
125.458,54.965
125.693,55.0157
125.832,55.0592
126.514,55.2143
126.955,55.2145
127.053,55.3956
127.276,55.4217
127.315,55.4597
127.382,55.5474
128.055,55.5585
128.091,55.5963
128.714,55.772
128.914,55.9911
129.23,56.0163
129.523,56.0423
129.617,56.075
129.696,56.2087
129.92,56.3709
129.925,56.4413
130.177,56.5535
130.558,56.5903
130.6,56.7186
130.613,56.8004
130.711,56.9525
130.902,57.1411
131.026,57.1533
131.602,57.3411
131.857,57.6657
132.375,57.7499
132.418,57.8151
132.734,57.8631
132.796,57.9032
133.085,57.9477
133.213,58.5057
133.565,58.5778
134.579,58.7435
135.621,59.2605
136.188,59.644
136.207,59.8344
136.34,59.8773
136.755,60.4293
136.848,60.4501
137.25,60.5307
137.943,60.8029
137.951,60.995
